id,DIAC1_2,DIAC1_3,DIAC4_1,DIAC5_1,ANT2_1,CLIM1_3,CLIM2_5,TFV_G11_GROUP,LITH1_1,LITH2_2,LITH4_2,DEM1_1,DEM2_4,DEM4_1
501,0.241,5.438,6.837131105,3,202.198079,-3.983818486,-14.47368421,Conifères,0.6931471807,8.35E-12,0.999981413,1828,22,78
588,0.403,14.256,2.284751158,164.4,0,29.38352555,-11.11111111,Conifères,6.64E-10,8.35E-12,8.35E-12,1531,27,171
530,0.191,1.708,4.0364753,15.4,0,-6.190125276,-16.86746988,Conifères,0.6606761155,8.35E-12,0.5955981354,1782,22,144
583,0.122,0.306,1.265269398,69.4,382.4110182,32.50792692,-13.69863014,Conifères,0.6931471808,8.35E-12,8.35E-12,1740,31,70
399,0.079,1.142,6.287778919,33.4,306.1999042,-8.646472393,-10,Conifères,0.250364643,0.07381272748,8.35E-12,1774,36,84
234,0.298,4.053,4.127890978,102.6,0,6.945703222,-11.11111111,Conifères,0.8466960906,0.09081396475,8.35E-12,1486,23,174
24,0.154,8.205,8.151541833,-18.2,0,16.80752367,-18.42105263,Mixte,0.906264992,0.6390681597,8.36E-12,1912,24,265
296,0.239,2.175,1.916861671,143.2,278.4286449,1.90011331,-12.82051282,Mixte,0.6931471808,8.35E-12,1.000000209,1734,28,253
587,0.089,0.772,4.816702177,151,0,37.00986592,-15.625,Mixte,0.6831257375,8.35E-12,8.35E-12,1707,38,165
291,0.423,2.118,4.758203561,104.6,0,24.78612537,-11.36363636,Mixte,0.3493371736,0.1253076748,8.35E-12,1492,29,113
278,0.178,1.552,4.892770554,-19.8,0,18.63329621,-8.943089431,Mixte,0.3145660111,8.35E-12,8.35E-12,1525,34,175
229,0.107,0.985,4.851687412,33,0,14.49576712,-10.71428571,Mixte,0.6876470227,8.35E-12,8.35E-12,1429,26,282
237,0.14,1.969,1.153511699,41.6,233.9984308,7.237098915,-10.22727273,Mixte,0.6931471808,8.35E-12,8.35E-12,1619,27,68
536,0.259,3.2,1.305558953,180.2,137.3159975,7.043225015,-11.36363636,Mixte,0.6931471808,8.35E-12,8.35E-12,1731,30,54
350,0.415,19.458,14.40306431,-12.8,104.1935672,13.55459615,-8.108108108,Feuillus,1.032362559,0.4144296267,0.5855728885,1659,35,124
352,0.472,17.25,7.640198678,-112.6,0,14.00105801,-8.571428571,Feuillus,1.027896619,0.3916927445,0.6083049324,1711,38,129
514,0.285,1.168,10.90150223,93.8,671.9598678,13.14667425,-13.33333333,Feuillus,0.7474382385,0.02275674127,0.9772445705,1740,34,117
695,0.299,1.901,9.746590737,40.6,305.8113943,13.74197129,-10.41666667,Feuillus,0.7002718123,0.001971393178,0.9980330186,1764,35,148
515,0.437,2.772,1.819618514,110.6,0,7.166562023,-8.849557522,Feuillus,1.039248007,0.5217256008,0.4782712657,1379,26,262
683,0.226,0.758,6.246246642,26,52.35048781,8.387953207,-13.95348837,Feuillus,1.006326072,0.3193228376,0.680674422,1922,22,269
681,0.154,0.986,3.238619812,38.4,1281.270834,1.844470496,-19.17808219,Feuillus,1.087441591,0.4858580475,0.490517046,1808,27,240
348,0.094,0.138,4.879611419,-8,0,7.631667226,-10.98901099,Feuillus,0.6931471808,8.35E-12,8.35E-12,1650,32,149
349,0.11,0.481,1.692459368,11,0,8.5039108,-10.86956522,Feuillus,0.6931471808,8.35E-12,8.35E-12,1655,27,115
505,0.236,0.7,5.225365299,4,232.0213685,5.892108939,-10.30927835,Feuillus,0.6931471808,0.9999943943,8.35E-12,1371,36,104
506,0.212,0.632,12.60849343,218.6,527.1597997,5.945521215,-10.30927835,Feuillus,0.6931471808,0.9999989474,8.35E-12,1695,39,96
511,0.18,0.31,1.042078585,-0.6,0,9.23553546,-10.41666667,Feuillus,0.7614194683,0.03051984109,0.9694800085,1631,38,112
609,0.395,4.038,4.187712537,22.8,49.86068886,10.27081798,-7.857142857,Feuillus,1.039611504,0.5103245088,8.35E-12,1240,29,113
694,0.291,1.076,5.277495055,2,21.41872069,6.788624935,-10.30927835,Feuillus,0.8689405273,0.1124400615,8.35E-12,1369,31,141
517,0.026,0.021,8.567766002,100.8,67.33234344,-2.411190871,-12.90322581,Feuillus,0.6931405577,8.35E-12,0.9927473669,1817,33,257
518,0.14,0.775,6.597232444,211.6,44.15561381,-4.273049645,-13.95348837,Feuillus,1.036119883,8.35E-12,0.5599318327,1962,33,286
519,0.163,0.406,6.954008373,39.2,149.3276874,-4.878483041,-13.95348837,Feuillus,0.7700510793,8.35E-12,0.0356329305,1980,27,254
504,0.22,0.831,5.521392929,58.4,454.9803259,4.134431412,-12.65822785,Feuillus,1.018449671,0.644806153,0.3551970884,1628,23,148
606,0.552,4.571,6.921725741,28,195.8882933,10.45183714,-11.49425287,Feuillus,0.6931471807,8.35E-12,0.9999837341,1861,38,95
306,0.19,1.277,7.420611957,75,330.4986829,10.81159843,-13.51351351,Feuillus,0.6931471808,8.35E-12,1.000002147,1797,31,112
696,0.177,0.945,9.827600461,17.6,386.9668797,-0.5616005616,-14.77272727,Feuillus,6.64E-10,8.35E-12,8.35E-12,1826,28,278
465,0.263,1.462,3.290246469,20.6,646.276833,25.92592593,-20,Feuillus,0.5798597745,8.35E-12,8.35E-12,1856,44,69
482,0.383,1.471,6.846119176,47.4,0,13.95846913,-10.81081081,Feuillus,0.6789727129,8.35E-12,8.35E-12,1392,28,296
455,0.217,2.915,1.719356758,85.4,0,9.857173011,-9.917355372,Feuillus,0.6931471808,8.35E-12,8.35E-12,1385,26,243
15,0.441,3.273,4.092348892,192.4,0,2.010347376,-9.708737864,Feuillus,0.9224880144,0.8282280856,8.35E-12,1478,28,243
287,0.387,1.603,10.53960489,95,0,1.859337106,-9.708737864,Feuillus,1.039613919,0.5103364723,8.35E-12,1445,31,248
468,0.209,0.918,2.385317274,25,364.7158999,10.38153062,-10.75268817,Feuillus,0.6931471808,8.35E-12,8.35E-12,1609,48,82
469,0.16,1.278,11.50976685,180.2,0,3.14778985,-9.615384615,Feuillus,0.03486554758,8.35E-12,8.35E-12,1579,33,243
472,0.305,3.093,4.66163572,160.4,12.1726512,25.0244858,-10.28037383,Feuillus,0.08040615894,8.35E-12,8.35E-12,1707,31,48
456,0.179,1.101,1.556192238,-4.4,0,15.0282841,-11.2244898,Feuillus,0.6910793553,8.35E-12,0.8791926187,1558,35,302
302,0.347,4.819,5.580882424,10.8,0,-1.342986046,-10.57692308,Feuillus,0.6931471808,8.35E-12,1.00000604,1630,25,154
304,0.238,0.83,7.022287064,0,531.3361652,18.5508055,-12.16216216,Feuillus,0.6931471808,8.35E-12,0.9999993317,2014,34,275
492,0.281,2.088,4.481220605,93,326.8169174,17.12792128,-11.76470588,Feuillus,0.8567853335,0.1010006976,0.8989971719,1739,23,85
599,0.074,-0.212,1.459338603,0.6,45.86982527,4.692415824,-16.39344262,Feuillus,0.6931471808,8.35E-12,1.000001312,1956,29,72
602,0.115,0.934,7.897531032,25.8,215.3738716,12.39277837,-9.375,Feuillus,0.7065188486,0.004120948507,0.9958798118,1746,20,127
641,0.141,1.234,2.706042591,100.6,0,-0.3700899992,-11.60714286,Feuillus,1.025547085,0.6184896436,0.3815121438,1460,21,169
314,0.279,1.594,7.053819785,82.4,0,-2.198334302,-9.027777778,Feuillus,0.8050679992,8.35E-12,0.9411258415,1012,22,200
293,0.317,1.204,6.8206684,35.8,39.683252,28.43467353,-13.33333333,Feuillus,0.7082233264,0.004750538606,0.9952435223,1817,31,224
297,0.128,2.576,4.060895514,25.6,0,-3.452060261,-11.70212766,Feuillus,0.6931471808,8.35E-12,1.000002339,1593,27,238
298,0.074,0.979,5.827753566,87,93.2131737,-5.906533968,-10.34482759,Feuillus,0.6931471808,8.35E-12,0.9999988223,1452,24,219
478,0.37,3.258,7.315125683,141,74.41978681,3.191398583,-12.82051282,Feuillus,1.03322754,0.5803996677,0.4195966404,1483,27,210
479,0.295,1.172,3.708227,49,0,-9.803048848,-9.756097561,Feuillus,0.8160568685,0.007223822796,0.0516653976,1239,26,217
592,0.246,1.12,12.2908594,229.2,0,27.55720564,-13.51351351,Feuillus,0.5353628239,8.35E-12,8.35E-12,1611,33,115
594,0.369,2.233,4.70975682,100.4,9.70680351,28.23854055,-12,Feuillus,0.6931471808,8.35E-12,8.35E-12,1615,34,110
595,0.604,15.145,6.476243992,119.6,228.5525817,25.99804465,-12.79069767,Feuillus,0.7618441821,8.35E-12,0.03076571051,1489,36,114
581,0.326,1.955,1.222758293,176,170.684307,23.70184255,-14.49275362,Feuillus,0.6931471808,8.35E-12,8.35E-12,1795,34,133
543,0.107,0.266,4.440624384,123.4,0,-3.168299356,-10.12658228,Feuillus,0.8051944076,0.05813275034,8.35E-12,1830,37,91
650,0.607,9.069,7.686497011,56.4,329.0555222,-4.627078385,-10.4,Feuillus,0.6931471807,8.35E-12,1.000018607,1099,27,229
675,0.475,1.913,5.716939638,37.8,0,-2.066895369,-11.50442478,Feuillus,0.6931471808,8.35E-12,1.000000367,1281,30,148
242,0.286,2.256,6.072123459,158.2,6.38873917,-2.230085583,-10.52631579,Feuillus,6.64E-10,8.35E-12,8.35E-12,1706,35,71
331,0.33,2.011,1.041097599,67,0,8.382793214,-15.18987342,Feuillus,6.64E-10,8.35E-12,8.35E-12,1679,23,144
332,0.468,2.445,6.016367316,-28.6,0,5.937753721,-16.09195402,Feuillus,0.6740492018,8.35E-12,8.35E-12,1612,26,225
394,0.229,1.126,5.456516183,204.6,132.1920036,-5.277855348,-9,Feuillus,0.3112464099,8.35E-12,8.35E-12,1555,37,251
329,0.064,-0.626,2.05102218,16,15.59000357,17.56310351,-16.88311688,Feuillus,0.8404465219,0.007939587978,0.9238991035,1629,18,150
320,0.288,1.195,13.81263444,20.8,241.5109415,19.19723639,-16.21621622,Feuillus,0.6931471808,8.35E-12,1.000000534,1745,24,205
656,0.261,0.823,4.505513034,12,6.232889773,18.57087612,-16.88311688,Feuillus,0.6895501816,8.35E-12,0.8437146617,1695,21,183
680,0.062,0.01,1.024853133,-7.4,64.03102511,19.0875656,-16.21621622,Feuillus,0.6931471808,8.35E-12,1.000000576,1762,25,62
654,0.287,1.146,11.90890216,41,199.7142395,11.88465056,-14.28571429,Feuillus,0.6931471808,8.35E-12,0.9999970438,1559,16,286
676,0.306,8.668,2.841897989,-58.4,233.5422467,-7.320659595,-8.275862069,Feuillus,0.6931471808,8.35E-12,0.9999970102,1216,32,215
240,0.255,3.146,3.287359462,242,0,3.969929893,-8.771929825,Feuillus,0.6931471808,8.35E-12,8.35E-12,1209,33,137
522,0.292,1.125,3.754643007,69.4,80.13660065,7.060354645,-14.28571429,Feuillus,0.864882299,0.1091816589,8.35E-12,1648,40,92
369,0.145,0.351,8.274741907,10,0,7.453686887,-14.81481481,Feuillus,0.6761109391,8.35E-12,0.0006014757837,1802,22,66
370,0.244,0.71,1.362265565,167.6,705.0817914,-0.3539524692,-16.66666667,Feuillus,0.9868223784,8.35E-12,0.7258428926,1891,35,61
371,0.055,0.067,6.986508226,35.2,0,2.554194156,-12.37113402,Feuillus,0.6931471808,8.35E-12,8.35E-12,1752,33,215
520,0.268,1.055,2.237857589,96.8,386.360649,7.351712615,-16.66666667,Feuillus,0.6931471807,8.35E-12,0.9999839096,1806,35,67
521,0.157,0.396,4.791263317,-74.8,228.2933824,8.698544084,-14.63414634,Feuillus,1.067003471,0.01268414122,0.5415335546,1706,41,112
525,0.114,0.158,7.359106439,41,139.4674982,2.331925378,-12.22222222,Feuillus,0.6931471808,8.35E-12,8.35E-12,1856,27,294
682,0.134,0.991,3.44275327,14.8,451.8431489,12.85515597,-9.90990991,Feuillus,0.8786455986,0.1220536965,8.35E-12,1652,34,234
526,0.283,0.931,4.093838892,-3.4,85.15148692,-1.793595643,-13.79310345,Feuillus,0.6931471808,8.35E-12,8.35E-12,1757,36,206
491,0.178,0.73,3.948400361,-11.8,404.9451579,17.87281517,-12.19512195,Feuillus,0.8260218221,0.07474741851,0.9252554471,1693,24,121
607,0.294,1.529,8.61074263,5.8,486.0754854,5.058993294,-11.76470588,Feuillus,0.6931471808,8.35E-12,0.9999997327,1692,21,123
286,0.136,0.555,0.5902585316,68.6,80.18613834,5.893172454,-10.63829787,Feuillus,0.6931471807,8.35E-12,8.35E-12,1691,43,57
326,0.232,1.377,3.898675914,61.8,172.0610253,3.689938943,-11.49425287,Feuillus,0.7209563193,0.009916667778,0.99008243,1793,28,84
284,0.25,1.313,6.444155047,49.2,791.0253309,19.59878164,-16.94915254,Feuillus,0.682453151,8.35E-12,8.35E-12,1939,45,64
280,0.22,0.926,7.388508856,85,0,32.25326106,-10.20408163,Feuillus,6.64E-10,8.35E-12,8.35E-12,1691,36,98
283,0.17,0.264,5.715118722,91.2,0,28.71813243,-10.34482759,Feuillus,6.64E-10,8.35E-12,8.35E-12,1625,32,289
464,0.315,1.759,3.183856059,178.4,7.784064379,33.23447118,-12.08791209,Feuillus,6.64E-10,8.35E-12,8.35E-12,1716,37,116
589,0.272,1.46,4.2604007,62,0,34.80070434,-12.08791209,Feuillus,0.009462262787,0.001230184271,8.35E-12,1633,32,306
303,0.237,1.555,0.4398132683,9.2,308.9624809,7.607452198,-13.15789474,Feuillus,0.8600592574,0.1040186584,0.8959820767,1653,24,129
