id,DIAC1_2,DIAC1_3,DIAC4_1,DIAC5_1,ANT2_1,CLIM1_3,CLIM2_5,TFV_G11_GROUP,LITH1_1,LITH2_2,LITH4_2,DEM1_1,DEM2_4,DEM4_1,geometry,,,,,,,,,
585,0.204,1.667,3.223233534,32.8,0,33.02591534,-13.33333333,Feuillus,0.6931471808,8.35E-12,0.9999999415,1704,35,205,list(c(573112.92537097,572912.9535,572923.3198,573123.2917,573112.9254,6184784.644,6184788.099,6185388.01,6185384.554,6184784.64359625))
443,0.179,0.404,2.857196676,100.4,419.296559,5.500844119,-9.278350515,Feuillus,0.6929723611,8.35E-12,8.35E-12,1521,34,136,list(c(556833.893739993,556765.2995,556201.6951,556270.2893,556833.8937,6187134.113,6186946.249,6187152.038,6187339.901,6187134.11252047))
569,0.099,-0.286,5.718390205,-2.8,0,18.4167154,-9.900990099,Feuillus,0.8535689042,8.35E-12,0.09807986953,1491,29,146,list(c(555216.028481812,555016.107,554999.8848,555199.8062,555216.0285,6189724.108,6189718.701,6190318.481,6190323.888,6189724.10848559))
412,0.15,1.547,6.184396841,102,760.0435449,-2.35996588,-11.11111111,Feuillus,0.6831462231,8.35E-12,8.35E-12,1756,41,94,list(c(544532.87610089,544499.2527,545090.7087,545124.3321,544532.8761,6190529.264,6190726.405,6190827.273,6190630.131,6190529.26362523))
647,0.227,2.035,8.143693587,8,561.7406776,12.57600884,-15.18987342,Feuillus,0.7125457052,0.006417515,0.9935897008,1542,27,206,list(c(595921.21259637,595774.0127,596180.1962,596327.3961,595921.2126,6191045.091,6191180.484,6191622.088,6191486.695,6191045.09075755))
559,0.05,-0.441,3.754046798,-8.6,292.9549076,-1.445534331,-8.391608392,Feuillus,0.6931471808,8.35E-12,8.35E-12,1364,37,173,list(c(546802.126730244,547001.1343,547060.9066,546861.8991,546802.1267,6192031.671,6192051.595,6191454.579,6191434.655,6192031.67060054))
411,0.011,-0.846,10.01133276,-43.4,118.7731895,-1.211072664,-9.009009009,Feuillus,0.6931471807,8.35E-12,8.35E-12,1504,43,154,list(c(546678.101878365,546513.0042,546174.3433,546339.441,546678.1019,6191446.369,6191333.481,6191828.768,6191941.656,6191446.36872252))
398,0.368,13.222,2.829789609,208.8,0,-4.479600333,-11.11111111,Feuillus,6.64E-10,8.35E-12,8.35E-12,1794,34,253,list(c(531300.480786163,531403.7009,531917.6045,531814.3844,531300.4808,6192715.222,6192886.514,6192576.836,6192405.544,6192715.22206477))
244,0.174,1.574,0.7533206626,233.2,0,2.158986878,-11.47540984,Feuillus,0.6931471808,8.35E-12,8.35E-12,1683,34,175,list(c(532019.515833778,532219.5117,532219.4927,532019.4968,532019.5158,6194115.438,6194115.432,6193515.433,6193515.439,6194115.43821739))
689,0.317,6.717,5.662059446,77,0,-2.408526351,-7.608695652,Feuillus,0.6664483267,0.002103013065,8.35E-12,1456,28,129,list(c(545244.6455162,545236.1177,545835.5715,545844.0993,545244.6455,6194003.356,6194203.171,6194228.754,6194028.94,6194003.35617086))
