filename,date,site,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,MED,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NBPEAKS,LEQf,ENRf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BI,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,ROItotal,ROIcover,label
SMA06988_20220523_002702.wav,2022-05-23 00:27:02,ascou_pailhères,1136.05,-0.00090815994,3.5646848e-05,-0.01865060166981988,3.187826869771667,48.640146255493164,-35.57683,0.375399112701416,0.016640194,0.9911914849234896,0.034666666666666665,65,4.026707410812378,0.034666666666666665,0.04,0.8671291355389541,0.00011344738,5.6894603e-08,2.8100321751269535,10.344282991006732,1,48.52906987623135,-44.470929981773615,-46.25622593289488,1.7852959511212632,0.6552354020977414,3.783090498510333e-05,0.0016328095389552821,0.0012271913192585249,0.17311134548122387,2.500056149014961,0.9884686588479205,296.15634,-0.90324277,0.050838105,0.06672432,0.003392138,2523.2925,0.08306147,1.5825542017124188,0.622394722873652,0.13026024135949432,0.12567774241500226,0.12913553895410887,0.1262610892475987,236.61328125,5.429602861404419,0.0016592182497331912,0.06528787202380953,0.011829023875467165,0.1420952,0.3331188055453822,3.674229621887207,5.0763764,6346.195463089548,0.977829098701477,0.04492531252707459,1.1980481,14,0.1645669356990395,RE
SMA06988_20220523_002702.wav,2022-05-23 00:27:02,ascou_pailhères,1013.4,-0.0010763176,5.0082053e-05,-0.026000887899678624,3.275402970507743,50.11673450469971,-34.31114,0.41070079803466797,0.019250551,0.9900942935951538,0.0464,87,3.866702914237976,0.046400000000000004,0.03866666666666666,1.200640341515475,0.00012863748,8.121927e-08,2.9650422806572547,11.202716133580413,1,49.9946168115852,-43.00538307211657,-45.17449108643962,2.169108014323051,0.6409726897698544,4.626663919016227e-05,0.002216749806710494,0.0016756911878313963,0.1764964497783731,2.8338965097458333,1.108962577917799,295.84393,-0.9254151,0.038737006,0.09358579,0.0036252332,2493.63,0.11570646,1.3299185957933517,0.7025852092006893,0.13747639766850014,0.12552647126086294,0.12273212379935966,0.12705943169690503,238.109375,5.502915382385254,0.0022105539621131275,0.062122942927170875,0.015218055509209825,0.12961225,0.33309181469182175,3.614975929260254,4.9864845,5459.736283784307,0.97602354362607,0.034397665585302606,1.202432,34,0.3092274212913554,RE
SMA06988_20220523_002702.wav,2022-05-23 00:27:02,ascou_pailhères,1126.3,-0.0010712447,3.7769558e-05,-0.023135662259471747,3.0036932690307077,48.92200946807861,-35.118034,0.2051525115966797,0.01754277,0.9935917530874795,0.015466666666666667,29,3.6310207843780518,0.015466666666666667,0.03314285714285715,0.4669156883671291,0.0001173891,5.990724e-08,2.7761847255633345,10.12712249872736,1,48.766633953389885,-44.233365879941964,-45.914905149652554,1.6815392697105906,0.6580944416856848,3.580008008385871e-05,0.001714901730155205,0.0013048313174057746,0.17510141286078673,2.7025626210845295,1.0520856103258631,296.81128,-0.8960006,0.05485194,0.070472345,0.003865545,2519.33,0.08769695,1.9628687939026495,0.38662751516506066,0.12880715868976278,0.12690816054276569,0.11472785485592316,0.12712717616061897,238.236328125,5.416837930679321,0.0014059581776947707,0.05801136363636364,0.010427789642285103,0.14966595,0.3331268523276473,3.693344831466675,5.094422,6448.046450766867,0.9782401937991381,0.047697069835455214,1.1979403,8,0.015737560032017078,RE
SMA06988_20220523_002702.wav,2022-05-23 00:27:02,ascou_pailhères,1111.9833333333333,-0.0011729352,4.0829138e-05,-0.028267157519150366,2.987002781597422,49.274230003356934,-34.776676,0.20310449600219727,0.01824594,0.9938999486333144,0.012266666666666667,23,3.2749783992767334,0.012266666666666667,0.032,0.3835378868729989,0.000120304336,6.5311816e-08,2.8579379025148506,10.706790239583418,1,49.11190865676552,-43.88809076620124,-45.56116879930579,1.6730780331045523,0.652099737970477,3.619062333404255e-05,0.0015971919945336754,0.0011950105554390245,0.17588061955016432,2.9498633281162636,1.1202628551290708,295.8022,-0.9041251,0.05035118,0.07632516,0.003843062,2518.261,0.094907835,1.905692406386068,0.4424055998973138,0.12994007060175683,0.12538592010977284,0.12326574172892209,0.1259765625,236.080078125,5.395481586456299,0.0012246114594450374,0.055485416666666676,0.009124315936999467,0.14637515,0.33310450273954,3.641958236694336,5.0564837,6137.665379074963,0.977180490270257,0.04397343437694933,1.1976812,6,0.0037520010672358593,RE
SMA06988_20220523_002702.wav,2022-05-23 00:27:02,ascou_pailhères,1107.8833333333332,-0.0010937392,4.0699157e-05,-0.025579105720627104,3.0310943512761495,49.242262840270996,-34.869965,0.250518798828125,0.01805102,0.9929049408004669,0.020266666666666665,38,3.4987464547157288,0.020266666666666665,0.032,0.6336712913553895,0.00011991171,6.516222e-08,2.887081868214613,10.938700074695772,1,49.09861239466997,-43.90138780113873,-45.56207558623713,1.6606877850983963,0.6505325556190814,4.009605583643605e-05,0.0018290184678746435,0.0013824713155530244,0.175762485377701,2.6214686233585556,1.052787902604689,296.48016,-0.90443516,0.050180115,0.07608807,0.0038181082,2514.7935,0.09305954,1.9348510595780308,0.41578164454921734,0.12849519743863394,0.12696771611526148,0.1344717182497332,0.12714593616595518,238.271484375,5.415011644363403,0.0014757870864461047,0.06323437500000001,0.011046939652295782,0.14416656,0.33309493836713955,3.6214847564697266,5.046508,6124.13427774336,0.9767931997776031,0.04390035504166289,1.2004871,5,0.0057322238527214514,RE
SMA06988_20220523_002702.wav,2022-05-23 00:27:02,ascou_pailhères,1117.45,-0.0012242253,3.7394308e-05,-0.006734873312290624,3.005581831282461,48.91932010650635,-35.155228,0.2013568878173828,0.01746782,0.9934298412825541,0.0192,36,3.5022416710853577,0.019200000000000002,0.032,0.6003201707577375,0.000115930794,5.9596875e-08,2.8139737316359428,10.388420000456323,1,48.72811849565651,-44.271881465832564,-45.98194891960476,1.7100674537721972,0.655001505692568,3.470655898318853e-05,0.0015444686557515297,0.0011735306766759157,0.1757564352385007,2.858600079193658,1.106017141940742,296.45087,-0.9033184,0.050796304,0.0698557,0.0035484112,2523.2495,0.08722631,1.9598000706736847,0.39078868126153965,0.13154092439044412,0.1261291736545205,0.1264674493062967,0.1268051294023479,237.6328125,5.390310883522034,0.001449731523479189,0.06151636904761905,0.01094917912439936,0.14397055,0.33311639023789513,3.6686315536499023,5.074878,6303.402064724721,0.9777533952146769,0.04473626325573432,1.1979511,3,0.001250667022411953,RE
SMA06988_20220523_002702.wav,2022-05-23 00:27:02,ascou_pailhères,1134.8333333333333,-0.0012483621,3.637487e-05,-0.010606557038483426,3.007741033932586,48.81080150604248,-35.231136,0.1898517608642578,0.01731583,0.9936645786003631,0.013333333333333334,25,3.4822723269462585,0.013333333333333334,0.032,0.416889007470651,0.00011536512,5.772629e-08,2.7843257752032797,10.243552673766839,1,48.60744746773695,-44.39255232276851,-46.02630911690194,1.6337567941334328,0.6581691968112598,3.908064338586925e-05,0.0017453641036737633,0.0013038940136052002,0.17407692340906566,2.8234631124914675,1.0658737899981532,296.22906,-0.8921759,0.056984156,0.0679364,0.0038712984,2515.0985,0.08467966,1.9472862872455639,0.40370751418748674,0.12782201789672443,0.12572300465009908,0.13820704375667023,0.12600678695304163,236.13671875,5.3964149951934814,0.001381987059765208,0.058861979166666675,0.010134508058595835,0.14829001,0.33312170444211614,3.6810319423675537,5.0948033,6473.243539944946,0.9780766144394875,0.04931613236589506,1.1987228,9,0.005211112593383138,RE
SMA06988_20220523_002702.wav,2022-05-23 00:27:02,ascou_pailhères,1120.2666666666667,-0.0013149357,3.6758935e-05,-0.014697427558819373,3.0326910517336336,48.87385368347168,-35.062344,0.14207077026367188,0.017655613,0.9936085200387516,0.011733333333333333,22,3.756447434425354,0.011733333333333333,0.0352,0.3335112059765208,0.00011536828,5.8455857e-08,2.817681129486955,10.436519813458395,1,48.65186858733591,-44.34813132620435,-46.05274633317036,1.7046150069660087,0.6555223455961143,4.431392293902103e-05,0.002597607584342132,0.002016557336638747,0.1738982909811082,2.597393484746657,1.0209230550693158,296.39392,-0.89751333,0.05401105,0.06863298,0.0037069395,2519.733,0.08585563,1.9293141244171035,0.4218213487856062,0.1306707166899269,0.12591239137063576,0.1360725720384205,0.12652789821237992,237.11328125,5.433505177497864,0.0015383204375667022,0.06536458333333334,0.011470568606513616,0.14601901,0.333115135144908,3.6657471656799316,5.0781054,6397.566919886016,0.977709349244833,0.047195687295159834,1.1984305,11,0.01782200506937033,RE
SMA06988_20220523_002702.wav,2022-05-23 00:27:02,ascou_pailhères,1129.9333333333334,-0.0012380595,3.6325502e-05,-0.01753404095570429,3.0456777891519,48.80220890045166,-35.326263,0.24874162673950195,0.017127223,0.9930648279169368,0.015466666666666667,29,3.7080401182174683,0.015466666666666667,0.032,0.48359124866595515,0.000114392344,5.7811306e-08,2.8252239834400656,10.510457714418136,2,48.59897286293969,-44.4010268785792,-46.098896818618805,1.6978699400396025,0.6548299816621075,5.82172626475419e-05,0.11622929058696296,0.10888449989704518,0.17420621090004051,2.572688945501856,1.0143734923516206,296.3406,-0.9016256,0.051731735,0.06780317,0.0035075755,2525.15575,0.084414646,1.948071376139448,0.4031682492367409,0.12787948444298497,0.12612321809727092,0.12860192102454643,0.12634967816168624,236.779296875,5.462400913238525,0.0013632270544290288,0.06036979166666668,0.010134508058595837,0.14629449,0.33311068270510685,3.6556472778320312,5.073718,6352.9692520458375,0.9775779470801353,0.045567163798218326,1.2009168,6,0.00865044690501601,RE
SMA06988_20220523_002702.wav,2022-05-23 00:27:02,ascou_pailhères,1116.5833333333333,-0.0011698718,4.5297067e-05,-0.02350694142519084,3.03247542861352,49.71057415008545,-34.351406,0.22233009338378906,0.019161506,0.9932779263768777,0.016,30,3.8043326139450073,0.016,0.032,0.5002668089647812,0.00012665903,7.246244e-08,2.858950669839795,10.763469952443657,1,49.56237542939792,-43.4376248649706,-45.12281487598199,1.685190011011386,0.6523814073342235,0.00013695078189535081,0.16928685628258722,0.154867218397316,0.17386588734188946,2.669889031845469,1.0386955267153855,297.46368,-0.9004329,0.05239183,0.084671736,0.0044361074,2520.58975,0.10536592,1.8997742354072171,0.4472871400896251,0.1306789261965356,0.12740961846318036,0.13660618996798293,0.12782233858057632,239.5390625,5.755276679992676,0.0019374916622198507,0.07957812500000001,0.014370797600774159,0.14503843,0.3331003866236036,3.6330442428588867,5.0581985,6093.027755996446,0.977101182565093,0.04520559272656415,1.2060591,11,0.05711379402347919,RE
